               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11776,            0.035729,             0.03287,            0.019819,            0.033333,           0.0073299,           0.0011545,            0.093841,            0.033273,            0.035436,              0.0004,              0.0004,              0.0964
                   1,            0.096322,            0.041108,            0.028583,             0.02626,             0.34288,            0.024045,           0.0056963,             0.07207,            0.035865,            0.024352,          0.00089703,          0.00089703,            0.091897
                   2,            0.081364,            0.044639,            0.023507,             0.16308,             0.41667,              0.1491,            0.029003,            0.068719,            0.031603,            0.018628,           0.0013908,           0.0013908,            0.087391
                   3,            0.073467,            0.038757,            0.021449,             0.21117,                0.75,             0.19727,            0.035964,            0.067349,             0.02533,            0.017055,           0.0018812,           0.0018812,            0.082881
                   4,            0.074631,            0.033747,            0.020397,             0.23768,             0.56944,             0.26577,            0.095924,             0.07395,             0.02054,            0.015913,           0.0023683,           0.0023683,            0.078368
                   5,            0.076305,            0.026682,             0.01972,             0.28633,             0.78762,             0.34054,            0.097219,            0.064961,            0.017104,             0.01549,           0.0028522,           0.0028522,            0.073852
                   6,             0.06859,            0.022829,            0.018683,             0.45433,             0.97711,             0.64998,             0.23346,            0.065656,            0.013826,            0.015304,           0.0033327,           0.0033327,            0.069333
                   7,            0.071697,            0.022247,            0.018435,             0.56908,             0.79167,             0.71774,             0.19766,            0.067188,            0.011445,            0.015569,           0.0038099,           0.0038099,             0.06481
                   8,             0.06916,            0.018477,             0.01769,             0.65977,             0.76389,             0.62769,             0.25054,            0.059408,            0.011328,            0.015087,           0.0042838,           0.0042838,            0.060284
                   9,            0.069504,            0.016409,            0.017045,             0.60009,             0.77778,             0.67487,             0.22958,            0.057334,            0.010087,            0.015557,           0.0047545,           0.0047545,            0.055754
                  10,            0.081191,            0.017386,             0.01713,             0.35382,             0.26389,             0.30677,            0.037786,            0.092953,           0.0089759,            0.015703,           0.0052218,           0.0052218,            0.051222
                  11,             0.08451,            0.019256,            0.018295,             0.58124,             0.77778,             0.67703,             0.26573,            0.075158,            0.010276,            0.016346,           0.0056858,           0.0056858,            0.046686
                  12,            0.084062,            0.018201,            0.018416,             0.50193,             0.87374,               0.627,              0.2601,            0.079466,           0.0090257,             0.01776,           0.0061466,           0.0061466,            0.042147
                  13,            0.081463,             0.01734,            0.018044,             0.78316,               0.625,              0.7097,             0.19691,            0.079077,           0.0088015,             0.01582,            0.006604,            0.006604,            0.037604
                  14,            0.085179,            0.015687,            0.017261,             0.59597,             0.75467,             0.74833,             0.22675,             0.08175,            0.008314,            0.015695,           0.0070581,           0.0070581,            0.033058
                  15,             0.07927,            0.015193,            0.016559,             0.28704,             0.80556,             0.45021,            0.062597,            0.084854,            0.011148,            0.015521,           0.0075089,           0.0075089,            0.028509
                  16,            0.081252,            0.013691,             0.01573,             0.28854,             0.40278,             0.36768,            0.048532,            0.096655,           0.0098219,            0.015647,           0.0079565,           0.0079565,            0.023956
                  17,            0.078919,             0.01369,            0.016004,             0.35681,             0.91667,             0.64583,             0.12356,             0.07703,           0.0086884,            0.015597,           0.0084007,           0.0084007,            0.019401
                  18,            0.075701,             0.01256,            0.014896,             0.46164,             0.98611,             0.66348,             0.14319,            0.077529,           0.0084868,              0.0149,           0.0088416,           0.0088416,            0.014842
                  19,            0.074885,            0.013084,            0.015774,             0.54238,             0.94392,             0.78387,             0.13432,            0.078735,             0.01095,            0.016051,           0.0092793,           0.0092793,            0.010279
                  20,            0.075726,            0.012515,            0.016263,             0.51178,             0.95833,              0.8384,             0.13221,            0.075726,           0.0089977,            0.014847,             0.00934,             0.00934,             0.00934
                  21,            0.068833,             0.01337,            0.015227,             0.57988,             0.97222,             0.79406,             0.10774,            0.078646,            0.010451,            0.014681,             0.00934,             0.00934,             0.00934
                  22,             0.07008,            0.012087,            0.015276,             0.73502,             0.80556,             0.78251,             0.33087,            0.076143,            0.011644,            0.014863,            0.009307,            0.009307,            0.009307
                  23,            0.066694,            0.013062,            0.015131,             0.85591,             0.90278,             0.93114,             0.19588,            0.070973,            0.011412,            0.014854,            0.009274,            0.009274,            0.009274
                  24,            0.061369,            0.013312,             0.01445,             0.63557,             0.87471,             0.79612,             0.28039,            0.076183,            0.012243,             0.01477,            0.009241,            0.009241,            0.009241
                  25,            0.063667,            0.012419,            0.015341,             0.77941,                   1,             0.97331,             0.40574,             0.06309,           0.0090085,            0.014394,            0.009208,            0.009208,            0.009208
                  26,            0.056049,            0.012472,            0.014701,             0.77921,             0.97222,             0.98665,             0.35701,            0.058617,            0.010504,            0.014127,            0.009175,            0.009175,            0.009175
                  27,            0.056151,              0.0113,            0.014811,             0.85644,             0.99949,               0.995,             0.22829,            0.062217,           0.0099476,            0.014471,            0.009142,            0.009142,            0.009142
                  28,            0.055241,            0.012113,            0.014358,             0.69518,             0.99987,               0.995,             0.30802,            0.060832,            0.012052,            0.014207,            0.009109,            0.009109,            0.009109
                  29,            0.055958,            0.012332,            0.015053,             0.92249,              0.9856,               0.995,              0.5402,            0.052666,            0.011393,            0.014251,            0.009076,            0.009076,            0.009076
                  30,            0.053147,            0.011085,            0.014411,             0.67206,                   1,             0.73093,             0.33013,            0.072296,            0.012848,            0.014243,            0.009043,            0.009043,            0.009043
                  31,            0.059179,            0.010962,            0.013823,             0.86477,                   1,             0.95962,             0.46751,            0.063296,           0.0073971,            0.014842,             0.00901,             0.00901,             0.00901
                  32,            0.058177,            0.011411,            0.014396,             0.65386,                   1,             0.90539,             0.36374,            0.063753,           0.0083677,            0.015033,            0.008977,            0.008977,            0.008977
                  33,            0.056835,            0.010703,            0.014114,             0.77929,                   1,             0.99128,             0.46245,            0.059052,           0.0083069,            0.014705,            0.008944,            0.008944,            0.008944
                  34,            0.055744,            0.010518,            0.014156,             0.73463,             0.99915,             0.98322,             0.46741,             0.06029,           0.0094186,            0.014316,            0.008911,            0.008911,            0.008911
                  35,            0.052714,            0.012091,            0.013834,              0.9423,                   1,             0.99203,             0.52638,            0.053391,           0.0094843,            0.013926,            0.008878,            0.008878,            0.008878
                  36,            0.050736,            0.011586,            0.014033,             0.93936,             0.97342,               0.995,              0.6188,              0.0484,           0.0094822,            0.014129,            0.008845,            0.008845,            0.008845
                  37,             0.04799,            0.010189,             0.01366,             0.99053,                   1,               0.995,             0.74456,            0.043951,           0.0077135,            0.013933,            0.008812,            0.008812,            0.008812
                  38,            0.047473,            0.010356,            0.013741,             0.99234,                   1,               0.995,             0.62812,            0.047688,           0.0078638,             0.01392,            0.008779,            0.008779,            0.008779
                  39,            0.046262,            0.011166,            0.013307,             0.97352,                   1,               0.995,             0.71342,            0.044407,           0.0063323,            0.013851,            0.008746,            0.008746,            0.008746
                  40,            0.047221,            0.010035,            0.013486,             0.98943,                   1,               0.995,             0.48224,            0.057844,            0.006785,            0.014271,            0.008713,            0.008713,            0.008713
                  41,            0.049941,           0.0099394,            0.013461,             0.99524,                   1,               0.995,             0.58638,            0.050863,           0.0053568,            0.013788,             0.00868,             0.00868,             0.00868
                  42,            0.046385,           0.0097599,            0.013716,             0.99418,                   1,               0.995,             0.70436,            0.046364,           0.0056619,            0.014038,            0.008647,            0.008647,            0.008647
                  43,            0.044596,           0.0091449,            0.013143,             0.99323,                   1,               0.995,             0.81356,            0.041794,           0.0058195,            0.014382,            0.008614,            0.008614,            0.008614
                  44,            0.042591,           0.0099911,            0.012917,              0.9643,                   1,             0.99289,             0.67719,            0.044201,           0.0062032,            0.013906,            0.008581,            0.008581,            0.008581
                  45,            0.046455,            0.010576,            0.013535,             0.97222,                   1,               0.995,             0.54489,             0.04631,           0.0057434,            0.014035,            0.008548,            0.008548,            0.008548
                  46,            0.046368,            0.010276,            0.012825,             0.94361,                   1,               0.995,              0.6516,            0.047368,           0.0060132,            0.013998,            0.008515,            0.008515,            0.008515
                  47,            0.047634,            0.010245,            0.013537,              0.9857,                   1,               0.995,             0.75889,            0.042351,           0.0053502,            0.014031,            0.008482,            0.008482,            0.008482
                  48,            0.042972,           0.0090911,            0.012934,             0.99148,                   1,               0.995,             0.71415,            0.043514,           0.0052095,            0.013929,            0.008449,            0.008449,            0.008449
                  49,             0.04147,           0.0091082,            0.012951,             0.99487,                   1,               0.995,              0.8235,             0.04023,            0.005321,            0.013958,            0.008416,            0.008416,            0.008416
                  50,            0.045674,           0.0093908,            0.013511,             0.97963,                   1,               0.995,             0.63288,            0.048154,           0.0057923,            0.014081,            0.008383,            0.008383,            0.008383
                  51,            0.048317,           0.0098468,            0.012988,             0.99156,                   1,               0.995,             0.55912,            0.049502,           0.0052831,            0.013906,             0.00835,             0.00835,             0.00835
                  52,            0.044878,           0.0096212,            0.012849,             0.99034,                   1,               0.995,             0.74506,            0.042446,           0.0054479,            0.013922,            0.008317,            0.008317,            0.008317
                  53,            0.040561,           0.0097692,            0.012214,              0.9946,                   1,               0.995,             0.79851,            0.040243,           0.0052947,            0.013967,            0.008284,            0.008284,            0.008284
                  54,            0.042944,           0.0099253,            0.013149,             0.99515,                   1,               0.995,             0.73689,            0.042467,           0.0057474,            0.013866,            0.008251,            0.008251,            0.008251
                  55,            0.041993,           0.0090624,            0.012897,             0.99305,                   1,               0.995,             0.85139,            0.038683,           0.0054034,            0.014013,            0.008218,            0.008218,            0.008218
                  56,            0.043185,           0.0099646,            0.013236,              0.9914,                   1,               0.995,             0.70752,            0.041741,           0.0057548,            0.013889,            0.008185,            0.008185,            0.008185
                  57,            0.044153,           0.0098538,            0.013829,             0.99263,             0.99992,               0.995,              0.7755,            0.040954,           0.0052706,            0.013746,            0.008152,            0.008152,            0.008152
                  58,            0.043625,             0.00776,            0.013708,             0.99403,                   1,               0.995,             0.70651,            0.042932,           0.0054034,            0.013859,            0.008119,            0.008119,            0.008119
                  59,            0.042412,           0.0091875,            0.013581,             0.99721,                   1,               0.995,             0.82116,            0.040827,           0.0048409,             0.01408,            0.008086,            0.008086,            0.008086
                  60,            0.043586,           0.0090973,            0.012146,             0.99779,                   1,               0.995,             0.69802,            0.046472,           0.0048444,            0.013922,            0.008053,            0.008053,            0.008053
                  61,            0.043463,           0.0092133,            0.012453,             0.99847,                   1,               0.995,             0.75775,            0.042176,           0.0047975,            0.013919,             0.00802,             0.00802,             0.00802
                  62,            0.042319,           0.0084806,            0.013527,              0.9984,                   1,               0.995,             0.81378,            0.041925,           0.0048527,            0.013751,            0.007987,            0.007987,            0.007987
                  63,            0.040773,           0.0093556,            0.012324,             0.99412,                   1,               0.995,             0.72194,             0.04303,           0.0052679,            0.014108,            0.007954,            0.007954,            0.007954
                  64,            0.043351,           0.0087416,            0.012003,              0.9979,                   1,               0.995,             0.67361,            0.044581,           0.0052759,            0.013572,            0.007921,            0.007921,            0.007921
                  65,            0.041885,           0.0092861,            0.012811,             0.99638,                   1,               0.995,             0.90405,            0.037509,           0.0048195,            0.013659,            0.007888,            0.007888,            0.007888
                  66,            0.038493,           0.0086864,            0.012351,             0.99665,                   1,               0.995,             0.80749,            0.041828,           0.0047347,             0.01368,            0.007855,            0.007855,            0.007855
                  67,            0.043128,           0.0091164,            0.012713,             0.99757,                   1,               0.995,             0.80419,            0.038361,           0.0049588,            0.013801,            0.007822,            0.007822,            0.007822
                  68,            0.040728,           0.0090372,            0.012524,             0.99939,                   1,               0.995,             0.63551,            0.044383,            0.004928,            0.013721,            0.007789,            0.007789,            0.007789
                  69,            0.040104,           0.0091425,            0.012773,             0.99581,             0.99995,               0.995,             0.80575,             0.03973,            0.004859,            0.013658,            0.007756,            0.007756,            0.007756
                  70,            0.040719,           0.0089647,            0.012073,             0.99196,                   1,               0.995,             0.77104,            0.041745,           0.0047864,            0.013562,            0.007723,            0.007723,            0.007723
                  71,            0.038601,           0.0091061,            0.012334,             0.99504,                   1,               0.995,             0.85413,            0.037691,           0.0045385,            0.013521,             0.00769,             0.00769,             0.00769
                  72,            0.042956,           0.0092979,            0.013187,             0.99582,                   1,               0.995,             0.86169,            0.040982,           0.0048899,            0.013517,            0.007657,            0.007657,            0.007657
                  73,            0.039669,           0.0089726,            0.012101,             0.99438,                   1,               0.995,             0.82378,            0.039686,            0.004627,            0.013657,            0.007624,            0.007624,            0.007624
                  74,            0.039594,           0.0086995,            0.012361,             0.99658,                   1,               0.995,              0.7287,            0.039677,           0.0051197,            0.013647,            0.007591,            0.007591,            0.007591
                  75,            0.041248,           0.0079494,            0.012626,             0.99666,                   1,               0.995,             0.77005,            0.043394,           0.0048366,            0.013465,            0.007558,            0.007558,            0.007558
                  76,            0.041697,           0.0081135,            0.013004,             0.97035,                   1,             0.99128,             0.70537,            0.042331,           0.0049777,            0.013357,            0.007525,            0.007525,            0.007525
                  77,            0.038267,           0.0088514,            0.012226,             0.99232,                   1,               0.995,              0.8624,            0.037398,           0.0045731,            0.013396,            0.007492,            0.007492,            0.007492
                  78,            0.040214,           0.0087736,            0.012612,             0.99608,                   1,               0.995,             0.82526,            0.039891,            0.004788,            0.013264,            0.007459,            0.007459,            0.007459
                  79,            0.039113,            0.008499,            0.012411,             0.99562,                   1,               0.995,             0.82885,            0.037643,           0.0044641,            0.013404,            0.007426,            0.007426,            0.007426
                  80,            0.038628,           0.0086828,            0.012024,             0.99457,                   1,               0.995,             0.77007,            0.041337,            0.004606,            0.013397,            0.007393,            0.007393,            0.007393
                  81,            0.038236,            0.008572,            0.012423,             0.99837,                   1,               0.995,             0.89811,            0.036527,           0.0043023,            0.013409,             0.00736,             0.00736,             0.00736
                  82,            0.038575,            0.008269,            0.012079,             0.98303,                   1,             0.99351,             0.71801,            0.040106,           0.0049457,            0.013494,            0.007327,            0.007327,            0.007327
                  83,            0.039877,           0.0088926,            0.011747,             0.99688,                   1,               0.995,             0.79233,            0.040004,           0.0043956,            0.013325,            0.007294,            0.007294,            0.007294
                  84,            0.038133,           0.0073398,            0.011862,             0.99474,                   1,               0.995,             0.82115,            0.039305,           0.0045739,            0.013589,            0.007261,            0.007261,            0.007261
                  85,            0.040687,           0.0080511,            0.013686,             0.99397,                   1,               0.995,             0.85291,             0.03781,           0.0046544,            0.013772,            0.007228,            0.007228,            0.007228
                  86,            0.038612,           0.0085032,            0.012142,             0.99353,                   1,               0.995,             0.85299,            0.040076,           0.0049115,            0.013667,            0.007195,            0.007195,            0.007195
                  87,            0.036339,           0.0089812,            0.012292,             0.99472,                   1,               0.995,             0.86847,             0.03725,           0.0047137,            0.013755,            0.007162,            0.007162,            0.007162
                  88,            0.042014,           0.0076555,            0.013309,             0.99475,                   1,               0.995,             0.78171,              0.0405,           0.0048009,            0.013738,            0.007129,            0.007129,            0.007129
                  89,            0.036669,           0.0086619,            0.011859,              0.9948,                   1,               0.995,             0.81701,            0.038038,            0.004847,            0.013699,            0.007096,            0.007096,            0.007096
                  90,            0.039891,           0.0084881,            0.013084,             0.99423,                   1,               0.995,             0.77557,            0.040351,           0.0050078,             0.01382,            0.007063,            0.007063,            0.007063
                  91,            0.036177,           0.0079811,            0.011752,              0.9948,                   1,               0.995,             0.81058,            0.036811,           0.0047804,            0.013669,             0.00703,             0.00703,             0.00703
                  92,            0.038037,           0.0080826,            0.012337,             0.99778,                   1,               0.995,             0.78146,            0.041202,           0.0046884,            0.013641,            0.006997,            0.006997,            0.006997
                  93,            0.038413,           0.0086763,            0.012735,             0.99707,                   1,               0.995,             0.83414,            0.038554,           0.0043995,            0.013457,            0.006964,            0.006964,            0.006964
                  94,            0.039259,           0.0080807,            0.012382,             0.99642,                   1,               0.995,             0.88673,            0.036889,           0.0043327,            0.013441,            0.006931,            0.006931,            0.006931
                  95,            0.036486,           0.0080043,            0.011814,             0.99689,             0.99999,               0.995,             0.82143,            0.038372,           0.0045432,            0.013414,            0.006898,            0.006898,            0.006898
                  96,            0.038945,           0.0086448,            0.012005,             0.99709,                   1,               0.995,             0.77694,            0.041402,           0.0049029,             0.01349,            0.006865,            0.006865,            0.006865
                  97,            0.038483,           0.0093706,            0.012972,             0.99581,                   1,               0.995,             0.87325,            0.036462,           0.0047166,            0.013535,            0.006832,            0.006832,            0.006832
                  98,            0.039291,           0.0081108,            0.012807,             0.99516,                   1,               0.995,             0.79148,            0.041198,           0.0048991,             0.01357,            0.006799,            0.006799,            0.006799
                  99,             0.03914,           0.0077244,            0.012085,             0.99842,                   1,               0.995,             0.87576,            0.037223,            0.004589,             0.01336,            0.006766,            0.006766,            0.006766
                 100,              0.0369,           0.0074789,            0.012013,             0.99462,                   1,               0.995,             0.85031,            0.039866,            0.004684,            0.013478,            0.006733,            0.006733,            0.006733
                 101,             0.03675,           0.0088365,            0.011899,              0.9964,                   1,               0.995,             0.83994,            0.037942,           0.0045626,            0.013437,              0.0067,              0.0067,              0.0067
                 102,            0.038317,           0.0081203,            0.012733,             0.99669,                   1,               0.995,             0.76527,            0.038384,           0.0046809,             0.01332,            0.006667,            0.006667,            0.006667
                 103,            0.037228,           0.0079626,            0.012959,              0.9969,                   1,               0.995,             0.87355,            0.036679,           0.0045701,            0.013219,            0.006634,            0.006634,            0.006634
                 104,            0.035458,           0.0068208,            0.011454,             0.99674,                   1,               0.995,             0.75211,            0.041749,           0.0047064,            0.013245,            0.006601,            0.006601,            0.006601
                 105,            0.036788,           0.0079396,            0.012292,              0.9968,                   1,               0.995,             0.89736,            0.035795,           0.0040324,            0.013259,            0.006568,            0.006568,            0.006568
                 106,             0.03888,           0.0080006,            0.012673,             0.99658,                   1,               0.995,             0.83354,            0.040073,           0.0044753,            0.013348,            0.006535,            0.006535,            0.006535
                 107,            0.036989,           0.0082089,            0.012173,             0.99814,                   1,               0.995,             0.87202,            0.037514,           0.0041227,            0.013273,            0.006502,            0.006502,            0.006502
                 108,            0.038408,           0.0085642,            0.012787,              0.9968,                   1,               0.995,             0.88469,            0.038059,           0.0042146,            0.013342,            0.006469,            0.006469,            0.006469
                 109,            0.037239,           0.0072015,            0.012377,             0.99724,                   1,               0.995,             0.88686,            0.036096,           0.0040695,            0.013232,            0.006436,            0.006436,            0.006436
                 110,            0.038375,           0.0079406,            0.012013,             0.99729,                   1,               0.995,             0.77255,            0.043197,            0.004621,            0.013403,            0.006403,            0.006403,            0.006403
                 111,            0.039716,           0.0081193,            0.011954,             0.99814,                   1,               0.995,              0.9034,            0.035568,           0.0043286,            0.013428,             0.00637,             0.00637,             0.00637
                 112,            0.036784,           0.0086199,             0.01247,              0.9989,                   1,               0.995,             0.74041,            0.040145,           0.0047094,            0.013244,            0.006337,            0.006337,            0.006337
                 113,            0.036486,           0.0077317,            0.012108,              0.9976,                   1,               0.995,              0.8076,            0.040323,           0.0042586,            0.013209,            0.006304,            0.006304,            0.006304
                 114,            0.038071,           0.0082473,              0.0125,             0.99776,                   1,               0.995,             0.83556,            0.039069,           0.0041737,            0.013219,            0.006271,            0.006271,            0.006271
                 115,            0.035606,            0.008166,            0.011688,             0.99713,                   1,               0.995,             0.85626,            0.036612,           0.0041478,            0.013109,            0.006238,            0.006238,            0.006238
                 116,            0.037175,           0.0080757,            0.012726,             0.99739,                   1,               0.995,             0.87885,            0.036211,           0.0042498,            0.013348,            0.006205,            0.006205,            0.006205
                 117,            0.035854,           0.0069345,            0.012384,             0.99703,                   1,               0.995,             0.86339,            0.036039,           0.0043208,            0.013353,            0.006172,            0.006172,            0.006172
                 118,            0.037551,           0.0077323,            0.012223,             0.99639,                   1,               0.995,             0.88164,            0.037839,           0.0042066,            0.013215,            0.006139,            0.006139,            0.006139
