               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096548,            0.038004,            0.024724,             0.52956,             0.65079,             0.52612,             0.12718,            0.066015,             0.02503,            0.012977,              0.0023,              0.0023,              0.0793
                   1,            0.072988,            0.024859,            0.013925,             0.55969,             0.70899,             0.69204,             0.22083,            0.067649,            0.012401,           0.0099871,           0.0046845,           0.0046845,            0.057684
                   2,               0.078,            0.019855,            0.012319,             0.44274,             0.86656,             0.54267,             0.12723,            0.066299,             0.01082,           0.0092133,           0.0070531,           0.0070531,            0.036053
                   3,            0.067666,            0.017387,            0.010753,             0.47966,             0.85843,             0.62762,             0.20862,            0.061971,            0.010737,           0.0095787,           0.0094059,           0.0094059,            0.014406
                   4,            0.058944,            0.015643,            0.010058,             0.53518,             0.95767,             0.83059,             0.28972,            0.054807,            0.010914,           0.0092582,            0.009868,            0.009868,            0.009868
                   5,            0.051598,            0.014673,           0.0094494,             0.60576,             0.98677,             0.94855,             0.55537,             0.04585,            0.010059,           0.0088737,            0.009868,            0.009868,            0.009868
                   6,            0.047548,            0.013349,           0.0088105,             0.84095,             0.95503,             0.98912,             0.61678,            0.040967,           0.0086176,           0.0082449,            0.009835,            0.009835,            0.009835
                   7,            0.043887,            0.012905,           0.0085655,             0.98027,             0.97882,             0.99055,             0.69235,            0.035204,           0.0073312,            0.008241,            0.009802,            0.009802,            0.009802
                   8,            0.040164,            0.012271,           0.0082088,             0.99171,             0.99471,             0.99497,             0.68223,            0.034977,            0.007007,           0.0081664,            0.009769,            0.009769,            0.009769
                   9,            0.039223,            0.012201,           0.0081906,             0.93899,              0.9895,             0.98099,             0.72454,             0.03307,           0.0070389,           0.0082259,            0.009736,            0.009736,            0.009736
                  10,            0.037931,            0.011882,           0.0080664,             0.98055,             0.99198,             0.99239,             0.72583,            0.033775,           0.0065972,            0.007921,            0.009703,            0.009703,            0.009703
                  11,            0.037646,            0.011576,           0.0080531,             0.98734,             0.99206,             0.99209,             0.66443,            0.036001,           0.0066504,           0.0078835,             0.00967,             0.00967,             0.00967
